cenario;arquivo;linha;tempo_s;politica;tarefa;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;cpu_pct;evento_us;inicio_us;fim_us
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;14;5.0;CUSTOM;FUS_IMU;1000;0;0.0;2027;2028.1;2124;1923;1924.2;2129;5;103.9;105;41.129;5042128;5042024;5044052
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;15;5.0;CUSTOM;CTRL_ATT;1000;0;0.0;1352;1353.3;1419;3410;3411.9;3665;2246;1.0;180;27.894;5042024;5044082;5045435
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;16;5.0;CUSTOM;NAV_PLAN;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.001;0;0;0
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;17;5.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.003;0;0;0
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;24;10.0;CUSTOM;FUS_IMU;2000;0;0.0;2027;2030.6;2124;1923;1926.8;2129;5;103.9;105;41.235;10042128;10042024;10044052
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;25;10.0;CUSTOM;CTRL_ATT;2000;0;0.0;1352;1355.0;1419;3410;3416.2;3665;2246;2.4;180;27.94;10042024;10044082;10045435
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;26;10.0;CUSTOM;NAV_PLAN;3;1;33.333;4;20343.0;61005;2212;22410.3;61809;3190;1263.3;2386;0.423;9383292;9385500;9385504
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;27;10.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;35;15.0;CUSTOM;FUS_IMU;3000;0;0.0;2027;2052.4;2395;1923;1948.5;2291;5;103.9;106;42.492;15042128;15042024;15044384
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;36;15.0;CUSTOM;CTRL_ATT;3000;0;0.0;1352;1355.2;1419;3410;3438.2;3799;2429;44.8;371;27.927;15042024;15044414;15045767
