cenario;politica;escalonamento;cpu_mhz;tarefa;deadline_us;duracao_s;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;evento_us;inicio_us;fim_us;cpu_media_ponderada_pct;cpu_ultima_janela_pct
08;DM;COOP;240;FUS_IMU;5000;35.012;7001;16;0.229;667;676.8;790;171;299.8;5870;5198;435.8;5198;35056059;35055564;35056232;13.727083856963327;13.564
08;DM;COOP;240;CTRL_ATT;5000;35.012;7001;0;0.0;446;451.1;1652;1128;1138.6;2334;1042;18.0;364;35055564;35056246;35056698;9.288855135382153;9.29
08;DM;COOP;240;NAV_PLAN;20000;35.012;12;0;0.0;5;2605.1;8243;15;2687.0;8256;397;132.1;384;26210332;26210357;26210363;0.1621606306409231;0.0
08;DM;COOP;240;FAIL_SAFE;10000;35.012;1;0;0.0;1338;1338.0;1338;1351;1351.0;1351;13;0.0;0;24747799;24747812;24749150;0.004284245401576602;0.0
E01;CUSTOM;PRE;160;FUS_IMU;5000;35.0;7000;0;0.0;1008;1020.5;1187;938;950.5;1117;0;70.0;71;35041755;35041685;35042693;20.69857142857143;20.448
E01;CUSTOM;PRE;160;CTRL_ATT;5000;35.0;7000;0;0.0;670;671.3;739;1694;1707.3;1973;1234;24.9;206;35041685;35042708;35043379;13.828999999999999;13.82
E01;CUSTOM;PRE;160;NAV_PLAN;20000;35.0;12;0;0.0;2;5464.7;14442;15;5778.3;14456;1630;325.8;1009;28613800;28613814;28613816;0.18585714285714286;0.0
E01;CUSTOM;PRE;160;FAIL_SAFE;10000;35.0;1;0;0.0;2010;2010.0;2010;2022;2022.0;2022;12;0.0;0;27014167;27014179;27016189;0.006571428571428571;0.0
E02;CUSTOM;COOP;160;FUS_IMU;5000;35.013;7001;25;0.357;1005;1020.3;1404;399;563.0;6181;5173;517.2;5173;35056279;35055673;35056681;20.693185731014196;20.455
E02;CUSTOM;COOP;160;CTRL_ATT;5000;35.013;6975;0;0.0;669;672.1;2536;1691;1708.5;3563;1555;25.0;531;35055673;35056697;35057367;13.799988861280097;13.819
E02;CUSTOM;COOP;160;NAV_PLAN;20000;35.013;12;0;0.0;6;4077.4;11543;20;5031.6;12537;1771;547.8;1613;32500084;32500098;32500104;0.20780335875246336;0.089
E02;CUSTOM;COOP;160;FAIL_SAFE;10000;35.013;1;0;0.0;2023;2023.0;2023;2047;2047.0;2047;24;0.0;0;30982457;30982481;30984504;0.006569731242681285;0.044
E03;DM;PRE;160;FUS_IMU;5000;34.999;7000;0;0.0;1008;1021.6;1188;937;950.6;1117;0;71.0;71;35041763;35041692;35042702;20.70043512671791;20.45
E03;DM;PRE;160;CTRL_ATT;5000;34.999;7000;0;0.0;670;671.2;739;1694;1708.2;1973;1234;24.9;206;35041692;35042718;35043388;13.829999857138773;13.822
E03;DM;PRE;160;NAV_PLAN;20000;34.999;12;0;0.0;2;5158.3;13490;214;5866.6;14008;1621;499.2;1597;26818056;26818424;26818427;0.18542506928769392;0.0
E03;DM;PRE;160;FAIL_SAFE;10000;34.999;1;0;0.0;3748;3748.0;3748;3781;3781.0;3781;33;0.0;0;25380198;25380231;25383979;0.006571559187405354;0.0
E04;DM;COOP;160;FUS_IMU;5000;35.013;7001;26;0.371;1007;1020.3;1291;418;588.3;6150;5100;503.3;5100;35056268;35055692;35056700;20.688760660326164;20.449
E04;DM;COOP;160;CTRL_ATT;5000;35.013;7001;0;0.0;669;672.9;2642;1692;1708.8;3665;1655;25.2;631;35055692;35056716;35057386;13.8511390911947;13.845
E04;DM;COOP;160;NAV_PLAN;20000;35.013;12;0;0.0;6;4662.5;14911;20;5279.5;14928;1771;929.2;1754;28419616;28419629;28419636;0.21477231314083342;0.0
E04;DM;COOP;160;FAIL_SAFE;10000;35.013;1;0;0.0;2009;2009.0;2009;2026;2026.0;2026;17;0.0;0;26953016;26953033;26955042;0.006283380458686773;0.0
E05;DM;PRE;80;FUS_IMU;5000;35.003;7000;0;0.0;2027;2052.9;2402;1682;1714.0;2162;5;338.9;345;35045374;35045031;35047061;41.61367137102533;41.116
E05;DM;PRE;80;CTRL_ATT;5000;35.003;7000;0;0.0;1352;1353.5;1430;3409;3437.3;3803;2433;49.3;375;35045031;35047092;35048444;27.879712853184014;27.866
E05;DM;PRE;80;NAV_PLAN;20000;35.003;12;5;41.667;4;26855.7;70115;30;28320.3;73472;3357;926.1;2735;25759887;25759913;25759917;0.2878369282632917;0.0
E05;DM;PRE;80;FAIL_SAFE;10000;35.003;1;1;100.0;15466;15466.0;15466;18983;18983.0;18983;3517;0.0;0;24630003;24633520;24648986;0.013284832728623259;0.0
E06;DM;PRE;240;FUS_IMU;5000;30.001;6000;0;0.0;668;677.9;797;485;495.0;763;0;183.0;183;30044758;30044576;30045244;13.76949395020166;13.576
E06;DM;PRE;240;CTRL_ATT;5000;30.001;6000;0;0.0;450;451.4;510;1129;1140.8;1403;893;20.3;210;30044576;30045255;30045706;9.306000066664444;9.302
E06;DM;PRE;240;NAV_PLAN;20000;30.001;12;0;0.0;1;2921.6;7434;11;3159.8;7986;841;444.7;827;18926115;18926125;18926126;0.18116702776574115;0.0
E06;DM;PRE;240;FAIL_SAFE;10000;30.001;1;0;0.0;1338;1338.0;1338;1351;1351.0;1351;13;0.0;0;17457784;17457797;17459135;0.005333222225925804;0.0
E07;RM;PRE;240;FUS_IMU;5000;30.0;6000;0;0.0;668;677.8;790;614;623.9;763;0;54.0;54;30040629;30040575;30041243;13.760666666666669;13.568
E07;RM;PRE;240;CTRL_ATT;5000;30.0;6000;0;0.0;451;451.3;513;1129;1140.2;1402;889;19.5;206;30040575;30041254;30041705;9.304833333333333;9.3
E07;RM;PRE;240;NAV_PLAN;20000;30.0;12;0;0.0;1;2997.6;8632;11;3091.2;8641;928;149.2;914;20588694;20588707;20588709;0.1755;0.0
E07;RM;PRE;240;FAIL_SAFE;10000;30.0;1;0;0.0;1375;1375.0;1375;1905;1905.0;1905;530;0.0;0;19476205;19476735;19478110;0.005333333333333333;0.0
E08;RM;PRE;80;FUS_IMU;5000;30.0;6000;0;0.0;2027;2057.0;2399;1923;1953.1;2295;5;103.9;107;30042136;30042032;30044059;41.72166666666667;41.128
E08;RM;PRE;80;CTRL_ATT;5000;30.0;6000;0;0.0;1352;1354.1;1419;3410;3442.2;3806;2434;56.8;367;30042032;30044090;30045443;27.9;27.9
E08;RM;PRE;80;NAV_PLAN;20000;30.0;12;5;41.667;4;26848.4;66234;101;28137.8;68804;2976;1156.2;2921;22584531;22585508;22585512;0.33383333333333337;0.0
E08;RM;PRE;80;FAIL_SAFE;10000;30.0;1;1;100.0;15923;15923.0;15923;16871;16871.0;16871;948;0.0;0;21469566;21470514;21486437;0.015499999999999998;0.0
E09;RM;COOP;80;FUS_IMU;5000;30.015;6001;47;0.783;2024;2249.4;3091;1091;1380.3;7408;5138;962.1;5138;30059958;30059023;30061693;41.79525600533067;41.22
E09;RM;COOP;80;CTRL_ATT;5000;30.015;6001;24;0.4;1349;1365.1;4493;3406;3648.6;6780;3392;376.7;1335;30059023;30061727;30063093;27.917990571380972;27.912
E09;RM;COOP;80;NAV_PLAN;20000;30.015;12;5;41.667;8;25209.7;66134;31;26632.2;68613;3411;1499.3;3386;19820359;19822566;19822574;0.4114033649841745;0.0
E09;RM;COOP;80;FAIL_SAFE;10000;30.015;1;0;0.0;8018;8018.0;8018;8042;8042.0;8042;24;0.0;0;18438268;18438292;18446310;0.014829318673996339;0.0
E10;RM;COOP;240;FUS_IMU;5000;35.012;7001;16;0.229;668;676.7;790;175;304.4;5864;5192;430.9;5192;35056055;35055666;35056334;13.725101336684563;13.563
E10;RM;COOP;240;CTRL_ATT;5000;35.012;7001;0;0.0;446;450.9;1957;1128;1138.3;2651;897;17.7;211;35055666;35056345;35056796;9.291282188963784;9.288
E10;RM;COOP;240;NAV_PLAN;20000;35.012;12;0;0.0;5;2536.5;7241;15;2718.5;7254;1222;167.3;814;21907331;21907341;21907346;0.17105003998629043;0.0
E10;RM;COOP;240;FAIL_SAFE;10000;35.012;1;0;0.0;1342;1342.0;1342;1367;1367.0;1367;25;0.0;0;20707517;20707542;20708884;0.0041414372215240495;0.0
